letter,name,url
A,AANONSEN,/merker/aanonsen
A,ABUS,/merker/abus
A,ADHOC,/merker/adhoc
A,AGA,/merker/aga
A,AIRTHINGS,/merker/airthings
A,ALANOR,/merker/alanor
A,ALFI,/merker/alfi
A,ALPINA,/merker/alpina
A,ANKARSRUM,/merker/ankarsrum
A,ANNA,/merker/anna
A,ANSMANN,/merker/ansmann
A,ARABIA,/merker/arabia
A,ARIETE,/merker/ariete
A,ARVID NILSSON,/merker/arvid+nilsson
A,ASSA ABLOY,/merker/assa+abloy
A,AUK,/merker/auk
A,AVA,/merker/ava
A,AXLINGS,/merker/axlings
B,BABYLISS,/merker/babyliss
B,BAHCO,/merker/bahco
B,BAMIX,/merker/bamix
B,BASTIAN,/merker/bastian
B,BASTIAN TEKSTIL,/merker/bastian+tekstil
B,BATEX,/merker/batex
B,BATRECYCLE,/merker/batrecycle
B,BEESKIN,/merker/beeskin
B,BEHA,/merker/beha
B,BEKA,/merker/beka
B,BERLIN AQUA,/merker/berlin+aqua
B,BERNDES,/merker/berndes
B,BIALETTI,/merker/bialetti
B,BIOGREEN,/merker/biogreen
B,BIRKMANN,/merker/birkmann
B,BITZ,/merker/bitz
B,BJØRKLUND1925,/merker/bj%C3%B8rklund1925
B,BLÅTIND,/merker/bl%C3%A5tind
B,BLOMSTERBERGS,/merker/blomsterbergs
B,BOOSTER,/merker/booster
B,BORMIOLI ROCCO,/merker/bormioli+rocco
B,BOSCH,/merker/bosch
B,BRABANTIA,/merker/brabantia
B,BRAUN,/merker/braun
B,BRIX,/merker/brix
B,BRUSLETTO,/merker/brusletto
B,BUILT,/merker/built
B,BUTINOX,/merker/butinox
C,CACAS,/merker/cacas
C,CAMELBAK,/merker/camelbak
C,CASCO,/merker/casco
C,CELLULARLINE,/merker/cellularline
C,CEMO GOURMET,/merker/cemo+gourmet
C,CHAR-BROIL,/merker/char-broil
C,CHRISTIANIA BYGGTEKNIKK,/merker/christiania+byggteknikk
C,CILIO,/merker/cilio
C,COBB,/merker/cobb
C,COCKTAIL CLUB,/merker/cocktail+club
C,COLEMAN,/merker/coleman
C,COMMAND,/merker/command
C,COSTA NOVA,/merker/costa+nova
C,COZZE,/merker/cozze
C,CRC,/merker/crc
